order_id,order_date,sku,product_name,category,color,size,unit_price,quantity,revenue
1001,2022-01-01 10:01:47,HOODIE-001,Premium Zip Hoodie,Outerwear,Beige,XXL,46.1,2,92.2
1002,2022-01-01 09:05:13,ACCESSORY-001,Leather Belt,Accessories,Beige,One Size,23.98,2,47.96
1003,2022-01-01 13:51:55,SHIRT-001,Classic Dress Shirt,Tops,Red,M,40.76,1,40.76
1004,2022-01-01 14:06:05,SKIRT-001,A-Line Midi Skirt,Bottoms,Red,XL,43.26,1,43.26
1005,2022-01-01 17:07:59,SHORTS-001,Chino Shorts,Bottoms,Pink,XXL,32.56,1,32.56
1006,2022-01-01 12:45:04,HOODIE-001,Premium Zip Hoodie,Outerwear,Gray,XS,64.97,1,64.97
1007,2022-01-01 16:40:53,SKIRT-001,A-Line Midi Skirt,Bottoms,Red,XXL,41.02,1,41.02
1008,2022-01-01 10:38:40,HOODIE-001,Premium Zip Hoodie,Outerwear,Red,L,72.58,1,72.58
1009,2022-01-01 17:14:43,JEANS-001,Slim Fit Denim Jeans,Bottoms,Blue,XS,55.23,1,55.23
1010,2022-01-01 18:56:45,SWEATER-001,Cable Knit Sweater,Tops,Brown,XXL,49.6,1,49.6
1011,2022-01-01 20:35:34,ACCESSORY-001,Leather Belt,Accessories,Pink,One Size,22.38,1,22.38
1012,2022-01-01 11:32:31,JEANS-001,Slim Fit Denim Jeans,Bottoms,Navy,S,71.78,1,71.78
1013,2022-01-01 10:24:24,SWEATER-001,Cable Knit Sweater,Tops,Black,XL,63.24,1,63.24
1013,2022-01-01 10:24:24,SHORTS-001,Chino Shorts,Bottoms,Blue,One Size,23.43,1,23.43
1014,2022-01-01 16:00:46,JACKET-001,Denim Jacket,Outerwear,Navy,One Size,65.13,1,65.13
1014,2022-01-01 16:00:46,JACKET-001,Denim Jacket,Outerwear,Pink,XL,60.39,1,60.39
1014,2022-01-01 16:00:46,SHIRT-001,Classic Dress Shirt,Tops,Beige,One Size,52.49,1,52.49
1015,2022-01-01 16:01:07,JACKET-001,Denim Jacket,Outerwear,Pink,S,77.35,1,77.35
1015,2022-01-01 16:01:07,SWEATER-001,Cable Knit Sweater,Tops,Beige,One Size,65.72,1,65.72
1015,2022-01-01 16:01:07,SWEATER-001,Cable Knit Sweater,Tops,Red,S,67.34,1,67.34
1016,2022-01-01 12:59:34,HOODIE-001,Premium Zip Hoodie,Outerwear,Blue,L,56.25,1,56.25
1016,2022-01-01 12:59:34,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,Blue,XS,17.23,1,17.23
1017,2022-01-01 18:14:00,JEANS-001,Slim Fit Denim Jeans,Bottoms,Blue,XS,49.0,1,49.0
1018,2022-01-01 19:31:13,ACCESSORY-001,Leather Belt,Accessories,Gray,One Size,30.56,1,30.56
1018,2022-01-01 19:31:13,HOODIE-001,Premium Zip Hoodie,Outerwear,Green,M,60.35,3,181.05
1019,2022-01-01 09:43:41,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,White,One Size,17.7,3,53.099999999999994
1019,2022-01-01 09:43:41,SWEATER-001,Cable Knit Sweater,Tops,Brown,M,63.68,2,127.36
1019,2022-01-01 09:43:41,SWEATER-001,Cable Knit Sweater,Tops,Beige,One Size,55.24,1,55.24
1019,2022-01-01 09:43:41,SHORTS-001,Chino Shorts,Bottoms,Gray,XS,24.43,1,24.43
1020,2022-01-01 12:55:25,SHIRT-001,Classic Dress Shirt,Tops,Red,L,55.04,1,55.04
1020,2022-01-01 12:55:25,JACKET-001,Denim Jacket,Outerwear,Beige,XXL,76.92,1,76.92
1020,2022-01-01 12:55:25,HOODIE-001,Premium Zip Hoodie,Outerwear,Pink,XS,56.64,1,56.64
1021,2022-01-01 14:03:03,SHORTS-001,Chino Shorts,Bottoms,Navy,XL,23.17,1,23.17
1021,2022-01-01 14:03:03,SHIRT-001,Classic Dress Shirt,Tops,Gray,XXL,45.91,2,91.82
1022,2022-01-01 18:15:37,ACCESSORY-001,Leather Belt,Accessories,Red,One Size,23.06,3,69.17999999999999
1022,2022-01-01 18:15:37,HOODIE-001,Premium Zip Hoodie,Outerwear,Red,S,62.56,1,62.56
1023,2022-01-01 10:00:29,ACCESSORY-001,Leather Belt,Accessories,White,One Size,25.65,1,25.65
1023,2022-01-01 10:00:29,SHIRT-001,Classic Dress Shirt,Tops,Gray,XS,37.21,1,37.21
1024,2022-01-01 17:45:19,SHORTS-001,Chino Shorts,Bottoms,White,XXL,31.26,3,93.78
1024,2022-01-01 17:45:19,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,Beige,XXL,17.29,1,17.29
1025,2022-01-01 12:45:21,JACKET-001,Denim Jacket,Outerwear,Black,M,57.82,1,57.82
1026,2022-01-01 13:02:00,SHIRT-001,Classic Dress Shirt,Tops,Navy,M,48.44,1,48.44
1027,2022-01-01 15:35:00,SHIRT-001,Classic Dress Shirt,Tops,Blue,One Size,40.84,1,40.84
1028,2022-01-01 11:02:19,JEANS-001,Slim Fit Denim Jeans,Bottoms,Gray,S,67.05,1,67.05
1029,2022-01-02 15:39:47,HOODIE-001,Premium Zip Hoodie,Outerwear,Navy,One Size,59.35,1,59.35
1030,2022-01-02 20:59:21,DRESS-001,Summer Maxi Dress,Dresses,Gray,One Size,48.42,1,48.42
1030,2022-01-02 20:59:21,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,Brown,XS,20.43,1,20.43
1031,2022-01-02 16:22:19,HOODIE-001,Premium Zip Hoodie,Outerwear,Gray,XXL,51.95,1,51.95
1031,2022-01-02 16:22:19,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,Blue,M,22.37,1,22.37
1031,2022-01-02 16:22:19,SHORTS-001,Chino Shorts,Bottoms,White,XS,31.61,1,31.61
1032,2022-01-02 18:16:02,DRESS-001,Summer Maxi Dress,Dresses,Blue,One Size,54.9,1,54.9
1033,2022-01-02 10:24:57,JACKET-001,Denim Jacket,Outerwear,Beige,XS,86.43,3,259.29
1033,2022-01-02 10:24:57,HOODIE-001,Premium Zip Hoodie,Outerwear,Blue,XS,63.23,1,63.23
1034,2022-01-02 10:46:57,JACKET-001,Denim Jacket,Outerwear,Green,M,79.37,1,79.37
1035,2022-01-02 12:26:42,SHIRT-001,Classic Dress Shirt,Tops,Green,M,38.6,1,38.6
1035,2022-01-02 12:26:42,JACKET-001,Denim Jacket,Outerwear,Pink,One Size,72.05,1,72.05
1035,2022-01-02 12:26:42,SWEATER-001,Cable Knit Sweater,Tops,Beige,S,70.44,1,70.44
1036,2022-01-02 21:47:10,JACKET-001,Denim Jacket,Outerwear,Pink,XXL,72.03,1,72.03
1036,2022-01-02 21:47:10,HOODIE-001,Premium Zip Hoodie,Outerwear,Gray,S,43.06,1,43.06
1037,2022-01-02 16:39:54,SWEATER-001,Cable Knit Sweater,Tops,Pink,XXL,58.74,1,58.74
1037,2022-01-02 16:39:54,SWEATER-001,Cable Knit Sweater,Tops,Black,S,82.96,1,82.96
1038,2022-01-02 10:49:27,SHORTS-001,Chino Shorts,Bottoms,Gray,XL,30.9,1,30.9
1039,2022-01-02 11:51:29,SHORTS-001,Chino Shorts,Bottoms,Brown,One Size,31.89,1,31.89
1039,2022-01-02 11:51:29,SHORTS-001,Chino Shorts,Bottoms,Brown,XL,35.94,1,35.94
1040,2022-01-02 16:28:16,JACKET-001,Denim Jacket,Outerwear,Brown,XL,71.76,1,71.76
1040,2022-01-02 16:28:16,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,Red,S,21.98,1,21.98
1041,2022-01-02 10:08:09,SHIRT-001,Classic Dress Shirt,Tops,Green,XS,41.86,1,41.86
1042,2022-01-02 15:03:13,DRESS-001,Summer Maxi Dress,Dresses,Black,XL,62.26,1,62.26
1042,2022-01-02 15:03:13,DRESS-001,Summer Maxi Dress,Dresses,Red,M,61.02,1,61.02
1042,2022-01-02 15:03:13,DRESS-001,Summer Maxi Dress,Dresses,Beige,XXL,62.79,1,62.79
1043,2022-01-02 16:14:17,JEANS-001,Slim Fit Denim Jeans,Bottoms,Green,XXL,77.31,1,77.31
1044,2022-01-02 11:39:34,DRESS-001,Summer Maxi Dress,Dresses,Black,XXL,40.34,1,40.34
1045,2022-01-02 16:11:03,SKIRT-001,A-Line Midi Skirt,Bottoms,,,38.96,1,38.96
1046,2022-01-02 21:53:26,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,Beige,XXL,19.25,1,19.25
1047,2022-01-02 12:41:04,JEANS-001,Slim Fit Denim Jeans,Bottoms,Gray,S,76.82,1,76.82
1047,2022-01-02 12:41:04,HOODIE-001,Premium Zip Hoodie,Outerwear,Gray,XL,53.24,2,106.48
1048,2022-01-02 14:10:38,TSHIRT-001,Cotton Crew Neck T-Shirt,Tops,Red,S,15.72,1,15.72
1048,2022-01-02 14:10:38,JACKET-001,Denim Jacket,Outerwear,Green,L,79.62,1,79.62
